batteryLevel,localTime,modelName,onWrist,hasRecentHeartRate,prediction,predictionScore,timestamp,deviceID,userID,version
68,7/22/25 18:27,Yeti,TRUE,,1,0.99489695,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:28,Yeti,TRUE,,1,0.9507833,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:29,Yeti,TRUE,,0,0.072985366,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:30,Yeti,TRUE,,0,0.059322596,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:31,Yeti,TRUE,,0,0.1681697,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:32,Yeti,TRUE,,0,0.05178568,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:33,Yeti,TRUE,,0,0.0792749,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:34,Yeti,TRUE,,0,0.06337233,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:35,Yeti,TRUE,,0,0.032889105,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:36,Yeti,TRUE,,0,0.043712012,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:37,Yeti,TRUE,,0,0.03375717,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:38,Yeti,TRUE,,0,0.15636994,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:39,Yeti,TRUE,,0,0.04316934,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:40,Yeti,TRUE,,0,0.03027677,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:41,Yeti,TRUE,,0,0.25851288,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
67,7/22/25 18:42,Yeti,TRUE,,0,0.44041657,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
66,7/22/25 18:43,Yeti,TRUE,,0,0.16007777,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
66,7/22/25 18:44,Yeti,TRUE,,0,0.08789829,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
66,7/22/25 18:45,Yeti,TRUE,,0,0.16465698,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
66,7/22/25 18:46,Yeti,TRUE,,1,0.6879762,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
66,7/22/25 18:47,Yeti,TRUE,,0,0.009402948,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
66,7/22/25 18:48,Yeti,TRUE,,0,0.3404158,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
